reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-21,wk flu hosp rate change,0,2026-02-21,53,pmf,decrease,0.469
2026-02-21,wk flu hosp rate change,0,2026-02-21,53,pmf,increase,0.14
2026-02-21,wk flu hosp rate change,0,2026-02-21,53,pmf,large_decrease,0.003
2026-02-21,wk flu hosp rate change,0,2026-02-21,53,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,53,pmf,stable,0.387
2026-02-21,wk flu hosp rate change,0,2026-02-21,54,pmf,decrease,0.447
2026-02-21,wk flu hosp rate change,0,2026-02-21,54,pmf,increase,0.096
2026-02-21,wk flu hosp rate change,0,2026-02-21,54,pmf,large_decrease,0.022
2026-02-21,wk flu hosp rate change,0,2026-02-21,54,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,54,pmf,stable,0.433
2026-02-21,wk flu hosp rate change,0,2026-02-21,55,pmf,decrease,0.5924075924075924
2026-02-21,wk flu hosp rate change,0,2026-02-21,55,pmf,increase,0.1038961038961039
2026-02-21,wk flu hosp rate change,0,2026-02-21,55,pmf,large_decrease,0.03896103896103897
2026-02-21,wk flu hosp rate change,0,2026-02-21,55,pmf,large_increase,0.0029970029970029974
2026-02-21,wk flu hosp rate change,0,2026-02-21,55,pmf,stable,0.26173826173826176
2026-02-21,wk flu hosp rate change,0,2026-02-21,56,pmf,decrease,0.308
2026-02-21,wk flu hosp rate change,0,2026-02-21,56,pmf,increase,0.018
2026-02-21,wk flu hosp rate change,0,2026-02-21,56,pmf,large_decrease,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,56,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,56,pmf,stable,0.672
2026-02-21,wk flu hosp rate change,0,2026-02-21,US,pmf,decrease,0.677
2026-02-21,wk flu hosp rate change,0,2026-02-21,US,pmf,increase,0.032
2026-02-21,wk flu hosp rate change,0,2026-02-21,US,pmf,large_decrease,0.01
2026-02-21,wk flu hosp rate change,0,2026-02-21,US,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,US,pmf,stable,0.2799999999999999
2026-02-21,wk flu hosp rate change,1,2026-02-28,01,pmf,decrease,0.419
2026-02-21,wk flu hosp rate change,1,2026-02-28,01,pmf,increase,0.202
2026-02-21,wk flu hosp rate change,1,2026-02-28,01,pmf,large_decrease,0.17
2026-02-21,wk flu hosp rate change,1,2026-02-28,01,pmf,large_increase,0.006
2026-02-21,wk flu hosp rate change,1,2026-02-28,01,pmf,stable,0.2029999999999999
2026-02-21,wk flu hosp rate change,1,2026-02-28,02,pmf,decrease,0.418
2026-02-21,wk flu hosp rate change,1,2026-02-28,02,pmf,increase,0.162
2026-02-21,wk flu hosp rate change,1,2026-02-28,02,pmf,large_decrease,0.002
2026-02-21,wk flu hosp rate change,1,2026-02-28,02,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,1,2026-02-28,02,pmf,stable,0.416
2026-02-21,wk flu hosp rate change,1,2026-02-28,04,pmf,decrease,0.639
2026-02-21,wk flu hosp rate change,1,2026-02-28,04,pmf,increase,0.103
2026-02-21,wk flu hosp rate change,1,2026-02-28,04,pmf,large_decrease,0.002
2026-02-21,wk flu hosp rate change,1,2026-02-28,04,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,1,2026-02-28,04,pmf,stable,0.254
2026-02-21,wk flu hosp rate change,1,2026-02-28,05,pmf,decrease,0.7912087912087912
2026-02-21,wk flu hosp rate change,1,2026-02-28,05,pmf,increase,0.06193806193806193
2026-02-21,wk flu hosp rate change,1,2026-02-28,05,pmf,large_decrease,0.042957042957042946
2026-02-21,wk flu hosp rate change,1,2026-02-28,05,pmf,large_increase,0.001998001998001998
2026-02-21,wk flu hosp rate change,1,2026-02-28,05,pmf,stable,0.10189810189810188
2026-02-21,wk flu hosp rate change,1,2026-02-28,06,pmf,decrease,0.382
2026-02-21,wk flu hosp rate change,1,2026-02-28,06,pmf,increase,0.144
2026-02-21,wk flu hosp rate change,1,2026-02-28,06,pmf,large_decrease,0.001
2026-02-21,wk flu hosp rate change,1,2026-02-28,06,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,1,2026-02-28,06,pmf,stable,0.472
2026-02-21,wk flu hosp rate change,1,2026-02-28,08,pmf,decrease,0.287
2026-02-21,wk flu hosp rate change,1,2026-02-28,08,pmf,increase,0.081
2026-02-21,wk flu hosp rate change,1,2026-02-28,08,pmf,large_decrease,0.001
2026-02-21,wk flu hosp rate change,1,2026-02-28,08,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,1,2026-02-28,08,pmf,stable,0.63
2026-02-21,wk flu hosp rate change,1,2026-02-28,09,pmf,decrease,0.735
2026-02-21,wk flu hosp rate change,1,2026-02-28,09,pmf,increase,0.027
2026-02-21,wk flu hosp rate change,1,2026-02-28,09,pmf,large_decrease,0.001
2026-02-21,wk flu hosp rate change,1,2026-02-28,09,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,1,2026-02-28,09,pmf,stable,0.236
2026-02-21,wk flu hosp rate change,1,2026-02-28,10,pmf,decrease,0.683
2026-02-21,wk flu hosp rate change,1,2026-02-28,10,pmf,increase,0.02
2026-02-21,wk flu hosp rate change,1,2026-02-28,10,pmf,large_decrease,0.001
2026-02-21,wk flu hosp rate change,1,2026-02-28,10,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,1,2026-02-28,10,pmf,stable,0.295
2026-02-21,wk flu hosp rate change,1,2026-02-28,11,pmf,decrease,0.001
2026-02-21,wk flu hosp rate change,1,2026-02-28,11,pmf,increase,0.107
2026-02-21,wk flu hosp rate change,1,2026-02-28,11,pmf,large_decrease,0.001
2026-02-21,wk flu hosp rate change,1,2026-02-28,11,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,1,2026-02-28,11,pmf,stable,0.89
2026-02-21,wk flu hosp rate change,1,2026-02-28,12,pmf,decrease,0.666
2026-02-21,wk flu hosp rate change,1,2026-02-28,12,pmf,increase,0.071
2026-02-21,wk flu hosp rate change,1,2026-02-28,12,pmf,large_decrease,0.009
2026-02-21,wk flu hosp rate change,1,2026-02-28,12,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,1,2026-02-28,12,pmf,stable,0.253
2026-02-21,wk flu hosp rate change,1,2026-02-28,13,pmf,decrease,0.536
2026-02-21,wk flu hosp rate change,1,2026-02-28,13,pmf,increase,0.085
2026-02-21,wk flu hosp rate change,1,2026-02-28,13,pmf,large_decrease,0.001
